restaurant_name,rating,area,restaurant_type,price_range,url
Coffee Culture,4.1,"Mahanagar, Lucknow","Cafe, Italian, Sandwich, Beverages, Fast Food, Shake, Pizza, Burger",₹800 for two,https://www.zomato.com/lucknow/coffee-culture-1-mahanagar/info
"Acacia - Biriyani, Kebabs & Wraps",4.5,"Gomti Nagar, Lucknow","Wraps, North Indian, Biryani, Mughlai",₹750 for two,https://www.zomato.com/lucknow/acacia-biriyani-kebabs-wraps-1-gomti-nagar/info
Kareem's,4.1,"Gomti Nagar, Lucknow","Mughlai, North Indian",₹500 for two,https://www.zomato.com/lucknow/kareems-gomti-nagar/info
Dreamy Delicacies,4.0,"Aliganj, Lucknow","North Indian, Chinese, Continental, Fast Food, Beverages",₹600 for two,https://www.zomato.com/lucknow/dreamy-delicacies-aliganj/info
The Beer Cafe Biggie,4.2,"Hazratganj, Lucknow","Italian, Pizza, Chinese, North Indian, Lebanese, Beverages","₹1,700 for two",https://www.zomato.com/lucknow/the-beer-cafe-biggie-hazratganj/info
Sagar Ratna,4.1,"Aliganj, Lucknow","South Indian, North Indian, Chinese, Desserts, Beverages",₹600 for two,https://www.zomato.com/lucknow/sagar-ratna-1-aliganj/info
Aadab-e-Dastarkhwan,4.3,"Indira Nagar, Lucknow","Mughlai, Lucknowi, North Indian, Chinese",₹600 for two,https://www.zomato.com/lucknow/aadab-e-dastarkhwan-indira-nagar/info
Amritsar 0 Km,4.1,"Alambagh, Lucknow","North Indian, South Indian, Chinese, Mughlai, Fast Food","₹1,000 for two",https://www.zomato.com/lucknow/amritsar-0-km-alambagh/info
Aryan Family's Delight,4.0,"Gomti Nagar, Lucknow","North Indian, Pizza, Fast Food, Chinese, South Indian, Beverages",₹900 for two,https://www.zomato.com/lucknow/aryan-familys-delight-1-gomti-nagar/info
Pack 'N' Chew,4.2,"Gomti Nagar, Lucknow","Chinese, Continental, North Indian, Mughlai, Fast Food, Desserts, Beverages, Sichuan",₹850 for two,https://www.zomato.com/lucknow/pack-n-chew-gomti-nagar/info
Raheem's,4.6,"Chowk, Lucknow",Mughlai,₹300 for two,https://www.zomato.com/lucknow/raheems-chowk/info
Al - Baike - Arabecue,4.2,"Aliganj, Lucknow","Fast Food, Biryani, Mughlai, North Indian, Roast Chicken, Salad, Lucknowi, Continental",₹300 for two,https://www.zomato.com/lucknow/al-baike-arabecue-1-aliganj/info
The Oven,4.3,"Nirala Nagar, Lucknow","Pizza, Fast Food, Momos",₹350 for two,https://www.zomato.com/lucknow/the-oven-nirala-nagar/info
KDR Exotic Dining,4.3,"Gomti Nagar, Lucknow","North Indian, Chinese","₹1,000 for two",https://www.zomato.com/lucknow/kdr-exotic-dining-gomti-nagar/info
Heaven Delights,4.0,"Rajajipuram, Lucknow","Sandwich, Bakery",₹550 for two,https://www.zomato.com/lucknow/heaven-delights-rajajipuram/info
Neelkanth Green,4.1,"Gomti Nagar, Lucknow","North Indian, Chinese, South Indian, Fast Food",₹900 for two,https://www.zomato.com/lucknow/neelkanth-green-gomti-nagar/info
Burger Point,4.1,"Rajajipuram, Lucknow","Burger, Fast Food, Beverages",₹500 for two,https://www.zomato.com/lucknow/burger-point-rajajipuram/info
Karim's - Delhi 6 (Original From Jama Masjid),4.1,"Gomti Nagar, Lucknow","Mughlai, North Indian, Rolls",₹700 for two,https://www.zomato.com/lucknow/karims-delhi-6-original-from-jama-masjid-gomti-nagar/info
Underdoggs Bar & Grill,4.3,"City Mall, Gomti Nagar, Lucknow","Mediterranean, Italian, American","₹1,300 for two",https://www.zomato.com/lucknow/underdoggs-bar-grill-gomti-nagar/info
The Pebbles Bistro & Bar,4.2,"Gomti Nagar, Lucknow","European, Shake","₹1,000 for two",https://www.zomato.com/lucknow/the-pebbles-bistro-bar-gomti-nagar/info
Banarasiya,4.0,"Alambagh, Lucknow",North Indian,₹600 for two,https://www.zomato.com/lucknow/banarasiya-alambagh/info
Buttercup Bungalow,4.1,"Husain Ganj, Lucknow","Bakery, Fast Food, Beverages, Desserts, Shake",₹400 for two,https://www.zomato.com/lucknow/buttercup-bungalow-husain-ganj/info
Manish Eating Point,4.2,"Gomti Nagar, Lucknow",Chinese,₹400 for two,https://www.zomato.com/lucknow/manish-eating-point-gomti-nagar/info
