restaurant_name,rating,area,restaurant_type,price_range,url
Net Ram Mithai,4.4,"Aminabad, Lucknow",Mithai,₹200 for two,https://www.zomato.com/lucknow/net-ram-mithai-aminabad/info
Zaika By Gemini Continental Hotel,4.1,"Gemini Continental, Hazratganj, Lucknow","Awadhi, Mughlai, Chinese, Continental, Salad, Italian, Japanese, Thai","₹1,200 for two",https://www.zomato.com/lucknow/zaika-by-gemini-continental-hotel-hazratganj/info
Bigg Daddy,4.4,"Gomti Nagar, Lucknow","Street Food, Chinese, North Indian, Fast Food, Beverages, Italian","₹1,500 for two",https://www.zomato.com/lucknow/bigg-daddy-gomti-nagar/info
Que,4.3,"Gomti Nagar, Lucknow","North Indian, Continental, Chinese, Bar Food, Italian, Fast Food, Street Food, Desserts","₹1,600 for two",https://www.zomato.com/lucknow/que-1-gomti-nagar/info
Madhurima Veg,4.2,"Gomti Nagar, Lucknow","Chinese, Sandwich, Fast Food, North Indian, Pizza, Desserts, South Indian, Burger",₹750 for two,https://www.zomato.com/lucknow/madhurima-veg-1-gomti-nagar/info
Domino's Pizza,4.2,"Alambagh, Lucknow","Pizza, Fast Food",₹300 for two,https://www.zomato.com/lucknow/dominos-pizza-1-alambagh/info
Shri Balaji Dhaba,4.2,"Alambagh, Lucknow",North Indian,₹400 for two,https://www.zomato.com/lucknow/shri-balaji-dhaba-alambagh/info
Unplugged Courtyard,3.9,"Gomti Nagar, Lucknow","North Indian, Continental, Chinese, Desserts, Beverages","₹2,100 for two",https://www.zomato.com/lucknow/unplugged-courtyard-1-gomti-nagar/info
The Drowning Street,4.4,"Gomti Nagar, Lucknow","North Indian, Chinese, Continental, Fast Food, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/lucknow/the-drowning-street-gomti-nagar/info
Masquerade By Mystery Rooms,4.3,"Gomti Nagar, Lucknow","Cafe, Modern Indian, Chinese, North Indian, Continental, Pizza, Pasta, Desserts",₹800 for two,https://www.zomato.com/lucknow/masquerade-by-mystery-rooms-gomti-nagar/info
Raj Luxmi Alambagh,4.2,"Alambagh, Lucknow","North Indian, Awadhi, South Indian, Chinese, Biryani, Fast Food, Desserts",₹400 for two,https://www.zomato.com/lucknow/raj-luxmi-alambagh-alambagh/info
Farzi Café,4.6,"Gomti Nagar, Lucknow","Finger Food, Fast Food, North Indian, Desserts, Beverages","₹1,300 for two",https://www.zomato.com/lucknow/farzi-caf%C3%A9-1-gomti-nagar/info
Skyhilton,4.4,"Alambagh, Lucknow","North Indian, Chinese, Continental, Fast Food, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/lucknow/skyhilton-1-alambagh/info
Mr. Sandwich,4.0,"Khurram Nagar, Lucknow","Fast Food, Sandwich, Desserts, Shake, Beverages",₹300 for two,https://www.zomato.com/lucknow/mr-sandwich-khurram-nagar/info
Mubeen's,4.3,"Chowk, Lucknow",Mughlai,₹300 for two,https://www.zomato.com/lucknow/mubeens-chowk/info
The Posh Pouf,4.0,"Alambagh, Lucknow","North Indian, Chinese, South Indian, Fast Food, Beverages, Pizza, Rolls, Desserts",₹700 for two,https://www.zomato.com/lucknow/the-posh-pouf-alambagh/info
Rajshree Sweets & Restaurant,4.2,"Indira Nagar, Lucknow","Chinese, South Indian, Mithai, Fast Food, Shake, Beverages",₹350 for two,https://www.zomato.com/lucknow/rajshree-sweets-restaurant-indira-nagar/info
B4,4.2,"Gomti Nagar, Lucknow","North Indian, Mughlai, Chinese, Biryani, Fast Food, Street Food, Rolls, Desserts",₹900 for two,https://www.zomato.com/lucknow/b4-gomti-nagar/info
Be The Beer,4.4,"Gomti Nagar, Lucknow","North Indian, Chinese, Italian, Mexican, Fast Food, Desserts, Shake, Beverages","₹1,200 for two",https://www.zomato.com/lucknow/be-the-beer-gomti-nagar/info
Boombox Bar Xchange,4.4,"Gomti Nagar, Lucknow","North Indian, Chinese, Continental, Desserts","₹1,200 for two",https://www.zomato.com/lucknow/boombox-bar-xchange-gomti-nagar/info
Home Sweet Home,4.1,"Hazratganj, Lucknow","Pizza, Continental, Mughlai, North Indian, Chinese, Beverages",₹600 for two,https://www.zomato.com/lucknow/home-sweet-home-hazratganj/info
Vintage Machine,4.5,"Gomti Nagar, Lucknow","Cafe, American, Italian, Lebanese","₹1,000 for two",https://www.zomato.com/lucknow/vintage-machine-gomti-nagar/info
Neelkanth Sweets,4.4,"Gomti Nagar, Lucknow","Mithai, North Indian, Street Food, Beverages",₹300 for two,https://www.zomato.com/lucknow/neelkanth-sweets-gomti-nagar/info
Madhurima Aminabad,4.0,"Aminabad, Lucknow","Street Food, Desserts, South Indian, Chinese",₹500 for two,https://www.zomato.com/lucknow/madhurima-aminabad-aminabad/info
Tamil Nadu Dosa Point,4.1,"Aliganj, Lucknow",South Indian,₹300 for two,https://www.zomato.com/lucknow/tamil-nadu-dosa-point-aliganj/info
The Twilight Kitchen & Bar,4.2,"Jankipuram, Lucknow","North Indian, Continental, Italian, Fast Food, Desserts, Beverages, Finger Food","₹1,400 for two",https://www.zomato.com/lucknow/the-twilight-kitchen-bar-jankipuram/info
Barbeque Nation,4.9,"Riverside Mall, Gomti Nagar, Lucknow","BBQ, Chinese, Mediterranean, North Indian, Desserts, Beverages","₹1,700 for two",https://www.zomato.com/lucknow/barbeque-nation-gomti-nagar/info
Limone Lounge,4.0,"Mahanagar, Lucknow","North Indian, Mughlai, Chinese, Salad, Pizza, Pasta, Fast Food, Beverages",₹800 for two,https://www.zomato.com/lucknow/limone-lounge-mahanagar/info
Madhurima Sweets,4.2,"Gomti Nagar, Lucknow","Chinese, North Indian, South Indian, Biryani, Desserts, Beverages",₹400 for two,https://www.zomato.com/lucknow/madhurima-sweets-gomti-nagar/info
